filepath,brand,type,inferred
22Bet/Casino_ 22Bet Casino in Kenya_ What It Feels Like to Play Here.docx,22Bet,main_review,TRUE
22Bet/Customer Support_ Why 22Bet’s Kenyan Support Feels Surprisingly Approachable.docx,22Bet,customer_support,TRUE
"22Bet/Free spins_ 22Bet Free Spins Explained_ Tips, Tricks, and Rewards.docx",22Bet,bonus_page,TRUE
22Bet/Live Section_ Ride the Momentum and Score Big With 22Bet Live.docx,22Bet,live_casino,reviewed
22Bet/Payment Methods_ Getting Paid And Playing Fast_ 22Bet’s Payment Setup In Kenya.docx,22Bet,payments,TRUE
22Bet/Privacy Policy_ What You Should Know About 22Bet’s Data Rules in Kenya.docx,22Bet,privacy_policy,reviewed
22Bet/Promo Codes_ Bonus Secrets Kenyan Players Keep Asking About — And What Actually Works On 22Bet.docx,22Bet,bonus_page,TRUE
22Bet/Registration and Login_ Trying Out 22Bet Kenya — How We Got Started.docx,22Bet,registration,TRUE
22Bet/Responsible Gaming_ Keeping Your Gaming Fun on 22Bet — Just Some Real Talk About Staying in Control__.docx,22Bet,responsible_gaming,TRUE
22Bet/Slots_ Grab Your Chance On 22Bet — A Kenyan Slots Adventure.docx,22Bet,game_review,TRUE
22Bet/VIP_ Unlock Extra Rewards_ Our Take On 22Bet VIP Program For Kenyan Players.docx,22Bet,vip_loyalty,TRUE
22Bet/Welcome bonus_ 22Bet Kenya_ Kickstart Your Betting Journey.docx,22Bet,bonus_page,TRUE
Avalon 78/Avalon 78 Casino Review.docx,Avalon 78,main_review,TRUE
Avalon 78/Avalon78 App Review_ Casino in Your Pocket.docx,Avalon 78,app_review,TRUE
"Avalon 78/Avalon78 App Review_ Pocket Knights, Instant Spins.docx",Avalon 78,app_review,TRUE
"Avalon 78/Avalon78 Casino Bonuses_ Spin Smart, Level Up, Cash Out.docx",Avalon 78,bonus_page,TRUE
"Avalon 78/Avalon78 Casino Bonuses_ Your Guide to Cashback, Codes & VIP Perks.docx",Avalon 78,bonus_page,TRUE
"Avalon 78/Avalon78 Casino Review_ A Knightly Adventure Through Bonuses, Games & Banking.docx",Avalon 78,bonus_page,TRUE
Avalon 78/Avalon78 Live — Real‑Time Action for Canadian Players.docx,Avalon 78,live_casino,reviewed
"Avalon 78/Avalon78 Support — Fast, Friendly, CAD‑Savvy Help.docx",Avalon 78,customer_support,TRUE
"Avalon 78/Knights, Quests, and Jackpots_ A Canadian’s Take on Avalon78.docx",Avalon 78,main_review,reviewed
CasinoChan/CC5K - App.docx,CasinoChan,app_review,TRUE
CasinoChan/CC5K - Bonus.docx,CasinoChan,bonus_page,TRUE
CasinoChan/CC5K - Live Casino.docx,CasinoChan,live_casino,TRUE
CasinoChan/CC5K - Main Review.docx,CasinoChan,main_review,TRUE
CasinoChan/CC5K - Support.docx,CasinoChan,customer_support,TRUE
CasinoChan/Canada Meets the Tables_ Your Guide to CasinoChan’s Live Casino Games.docx,CasinoChan,game_review,TRUE
"CasinoChan/CasinoChan App Review_ Install in Seconds, Play Anywhere_.docx",CasinoChan,app_review,TRUE
CasinoChan/CasinoChan Bonuses Review.docx,CasinoChan,bonus_page,TRUE
CasinoChan/CasinoChan Canada App Review_ Do You Even Need One.docx,CasinoChan,app_review,TRUE
"CasinoChan/CasinoChan Canada Bonuses_ Big Promos, Easy Codes, No Drama.docx",CasinoChan,bonus_page,TRUE
CasinoChan/CasinoChan Canada Customer Support Review_ Quick Fix or Endless Wait.docx,CasinoChan,customer_support,TRUE
"CasinoChan/CasinoChan Review_ Pokies, Live Tables, and Fast Payouts.docx",CasinoChan,main_review,TRUE
"CasinoChan/Inside CasinoChan Canada_ Big Bonuses, Bigger Game Lineup.docx",CasinoChan,main_review,TRUE
CookieCasino/APP_ How Convenient Is The Cookie Casino App.docx,CookieCasino,app_review,TRUE
CookieCasino/App Cookie _Casino.docx,CookieCasino,app_review,TRUE
CookieCasino/BONUSES_ ookie Casino Bonuses That Keep The Mood Light And The Rules Clear.docx,CookieCasino,bonus_page,TRUE
CookieCasino/Bonuses - Cookie Casino.docx,CookieCasino,bonus_page,TRUE
"CookieCasino/FREE SPINS_ Cookie Casino’s Free Spin Setup_ What Lands, When, and Why It Matters.docx",CookieCasino,bonus_page,TRUE
CookieCasino/Free Spins_ Cookie Casino.docx,CookieCasino,bonus_page,TRUE
CookieCasino/LIVE_ Cookie Casino’s Live Section Feels Like A Real Table Without The Noise.docx,CookieCasino,live_casino,TRUE
CookieCasino/LOGIN_ Opening A Cookie Casino Account_ A Plain-English Look At Getting Started.docx,CookieCasino,registration,TRUE
CookieCasino/Live Games Cookie Casino.docx,CookieCasino,live_casino,TRUE
"CookieCasino/MAIN_ Cookie Casino Review_ Big Lobby, Clear Rules, And A Few Things Worth Noticing.docx",CookieCasino,main_review,TRUE
CookieCasino/Main Review Cookie.docx,CookieCasino,main_review,TRUE
CookieCasino/PAYMENTS_ Cookie Casino Payments_ What Actually Happens When You Deposit And Cash Out.docx,CookieCasino,payments,TRUE
"CookieCasino/PRIVACY_ Cookie Casino Privacy Policy, Without The Legal Stiffness.docx",CookieCasino,privacy_policy,TRUE
CookieCasino/PROMO CODES_ Cookie Casino Promotional  Codes That Are Actually Worth Your Time.docx,CookieCasino,bonus_page,TRUE
CookieCasino/Payments_ Cookie Casino.docx,CookieCasino,payments,TRUE
CookieCasino/Privacy Policy_ Cookie Casino.docx,CookieCasino,privacy_policy,TRUE
CookieCasino/Promo Codes_ Cookie Casino.docx,CookieCasino,bonus_page,TRUE
"CookieCasino/RESPONSIBLE_ Cookie Casino’s Responsible Gaming Tools Feel Practical, Not Decorative.docx",CookieCasino,responsible_gaming,TRUE
CookieCasino/Registration_ Cookie Casino.docx,CookieCasino,registration,TRUE
CookieCasino/Responsible Game_ Cookie Casino.docx,CookieCasino,responsible_gaming,TRUE
"CookieCasino/SLOTS_ Cookie Casino Slots Review_ Easy Fun, Solid Bonuses, And Plenty Of Choice.docx",CookieCasino,game_review,TRUE
CookieCasino/SUPPORT_ Cookie Casino Customer Support_ What Help Actually Looks Like.docx,CookieCasino,customer_support,TRUE
CookieCasino/Slots_ Cookie Casino.docx,CookieCasino,game_review,TRUE
CookieCasino/Support_ Cookie Casino.docx,CookieCasino,customer_support,TRUE
"CookieCasino/VIP_ Cookie Casino Loyalty Ladder That Starts Fast and Pays in Small, Clear Steps.docx",CookieCasino,vip_loyalty,TRUE
CookieCasino/VIP_ Cookie Casino.docx,CookieCasino,vip_loyalty,TRUE
"CookieCasino/WELCOME_ Cookie Casino Welcome Bonus Review_ Real Numbers, No Circus.docx",CookieCasino,bonus_page,TRUE
CookieCasino/Welcome Bonus_ Cookie Casino.docx,CookieCasino,bonus_page,TRUE
HellSpin/All About HellSpin — A Player’s Take on the Casino.docx,HellSpin,main_review,TRUE
HellSpin/Free Spins_ HellSpin Canada.docx,HellSpin,bonus_page,TRUE
HellSpin/Free Spins_ HellSpin for Australian Players.docx,HellSpin,bonus_page,TRUE
HellSpin/Heat Up Your Bankroll_ HellSpin Bonuses for Canadian Players.docx,HellSpin,bonus_page,TRUE
HellSpin/HellSpin Bonuses — What You Get and How To Use Them.docx,HellSpin,bonus_page,TRUE
HellSpin/HellSpin Slots for Australian Players.docx,HellSpin,game_review,TRUE
HellSpin/Live_ HellSpin Canada.docx,HellSpin,live_casino,reviewed
"HellSpin/Live_ HellSpin in Australia_ Roulette First, Noise Later.docx",HellSpin,live_casino,reviewed
HellSpin/No Deposit Bonus_ HellSpin Canada.docx,HellSpin,bonus_page,TRUE
"HellSpin/No Deposit Bonus_ HellSpin in Australia_ What’s Real, What Needs Checking.docx",HellSpin,bonus_page,TRUE
HellSpin/Payment methods_ HellSpin Canada.docx,HellSpin,payments,TRUE
HellSpin/Payments_ HellSpin for Australian Players.docx,HellSpin,payments,TRUE
HellSpin/Play with a Plan_ Responsible Gambling for Canadians.docx,HellSpin,responsible_gaming,TRUE
HellSpin/Pocket Flames_ A Canadian’s Guide to the HellSpin App.docx,HellSpin,app_review,TRUE
HellSpin/Promo Code_ HellSpin Canada.docx,HellSpin,bonus_page,TRUE
HellSpin/Promo Codes_ HellSpin for Australia.docx,HellSpin,bonus_page,TRUE
HellSpin/Real‑Time Thrills_ A Canadian’s Guide to Play at HellSpin Live.docx,HellSpin,live_casino,reviewed
HellSpin/Registration_ HellSpin Canada.docx,HellSpin,registration,TRUE
"HellSpin/Registration_ HellSpin in Australia_ Quick Setup, Then One Main Account.docx",HellSpin,registration,TRUE
"HellSpin/Responsible Gaming at HellSpin Australia_ Keep It Fun, Keep It Bounded.docx",HellSpin,responsible_gaming,TRUE
HellSpin/Responsible Gaming_ HellSpin Canada.docx,HellSpin,responsible_gaming,TRUE
HellSpin/Slots_ HellSpin Canada.docx,HellSpin,game_review,TRUE
HellSpin/Sports_ HellSpin Canada.docx,HellSpin,sports_market,reviewed
HellSpin/Sports_ HellSpin On The Go_ How It Handles Mobile Play.docx,HellSpin,app_review,TRUE
HellSpin/Support_ HellSpin Canada.docx,HellSpin,customer_support,TRUE
"HellSpin/Support_ HellSpin in Australia_ Fast Channels, Clear Escalation.docx",HellSpin,customer_support,TRUE
HellSpin/Turning Up the Heat_ A Canadian’s Review of HellSpin.docx,HellSpin,main_review,TRUE
HellSpin/Welcome Bonus_ HellSpin Canada.docx,HellSpin,bonus_page,TRUE
HellSpin/Welcome Bonus_ HellSpin for Australian Players.docx,HellSpin,bonus_page,TRUE
Ivibet/Exclusive Casino Promotions & Bonuses at ivibet.docx,Ivibet,bonus_page,TRUE
Ivibet/IviBet Sports Betting Review_ Is It Worth Your Wager Worldwide.docx,Ivibet,sports_market,TRUE
"Ivibet/Ivibet App Review 2025_ Sports Betting, Casino Games, and How to Download.docx",Ivibet,app_review,TRUE
Ivibet/Ivibet Bonus Codes & Promos (2025 Update).docx,Ivibet,bonus_page,TRUE
Ivibet/Ivibet Canada Casino Review.docx,Ivibet,main_review,TRUE
Ivibet/Ivibet Canada Live Options.docx,Ivibet,live_casino,reviewed
"Ivibet/Ivibet Casino Games Breakdown_ Best Slots, Live Tables & Studio Providers.docx",Ivibet,game_review,TRUE
Ivibet/Ivibet Live Review_ Real-Time Sports & Games You Can Bet On.docx,Ivibet,live_casino,TRUE
Ivibet/Ivibet Sportsbook Review - Is It a Legit Platform_.docx,Ivibet,sports_market,TRUE
Ivibet/Ivibet.news App_ Casino & Betting on the Go.docx,Ivibet,app_review,TRUE
"Ivibet/Ivibet.news Betting Platform_ Sports, Esports & Casino in One Place.docx",Ivibet,main_review,TRUE
"Ivibet/Ivibet.news Casino at a Glance_ One Platform, Many Sections.docx",Ivibet,main_review,TRUE
"Ivibet/Play Smart, Play Safe_ Ivibet’s Guide to Responsible Gambling.docx",Ivibet,responsible_gaming,TRUE
Ivibet/Responsible Gambling.docx,Ivibet,responsible_gaming,TRUE
Koifortune/APP_ KoiFortune App I.docx,Koifortune,app_review,TRUE
Koifortune/APP_ KoiFortune App Review Canada_ One Mobile Route for Casino and Sports.docx,Koifortune,app_review,TRUE
Koifortune/App_ Koi Fortune AU.docx,Koifortune,app_review,TRUE
"Koifortune/App_ The Koifortune App_ Casino, Sports And Crypto In Your Pocket.docx",Koifortune,app_review,TRUE
Koifortune/BONUSES_ KoiFortune Bonus Guide Canada.docx,Koifortune,bonus_page,TRUE
Koifortune/BONUS_ KoiFortune Bonuses I.docx,Koifortune,bonus_page,TRUE
"Koifortune/Bonus_ Koifortune Bonuses_ Welcome Match, Crypto Reloads, Cashback And VIP Rewards.docx",Koifortune,bonus_page,TRUE
Koifortune/Bonuses_ Koi Fortune AU.docx,Koifortune,bonus_page,TRUE
Koifortune/MAIN_ KoiFortune Reviewed Inside Out I.docx,Koifortune,main_review,TRUE
Koifortune/MAIN_ Koifortune Canada Review_ A Casino-First Site With Sports Betting Built In.docx,Koifortune,main_review,TRUE
Koifortune/Main Page_ Koi Fortune AU.docx,Koifortune,main_review,reviewed
Koifortune/Main_ Koifortune Casino Review.docx,Koifortune,main_review,TRUE
Koifortune/The Best Online Casino Koifortune.docx,Koifortune,main_review,TRUE
Koifortune/_Meta title_ Live Baccarat Online at Koifortune Casino.docx,Koifortune,game_review,TRUE
"MasonSlots/How to Claim Every Mason Slots Bonus_ Welcome, Reloads & Free Spins.docx",MasonSlots,bonus_page,TRUE
MasonSlots/Mason Slots App_ No APK Needed — Fast Home-Screen Play.docx,MasonSlots,app_review,TRUE
MasonSlots/Mason Slots Bonus Guide_ What to Claim First.docx,MasonSlots,bonus_page,TRUE
MasonSlots/Mason Slots Bonuses Review.docx,MasonSlots,bonus_page,TRUE
MasonSlots/Mason Slots Canada App Review.docx,MasonSlots,app_review,TRUE
MasonSlots/Mason Slots Casino Review — From Registration to Withdrawal.docx,MasonSlots,main_review,TRUE
MasonSlots/Mason Slots Casino bonus.docx,MasonSlots,bonus_page,TRUE
MasonSlots/Mason Slots Live.docx,MasonSlots,game_review,TRUE
MasonSlots/Mason Slots Mobile Review_ From Login to Live Tables.docx,MasonSlots,app_review,TRUE
MasonSlots/Mason Slots Review (1).docx,MasonSlots,main_review,TRUE
"MasonSlots/Mason Slots Review_ Bonuses, Banking, Games.docx",MasonSlots,main_review,TRUE
MasonSlots/Mason Slots Support.docx,MasonSlots,customer_support,TRUE
MasonSlots/Mason Slots app.docx,MasonSlots,app_review,TRUE
MasonSlots/Mason Slots review.docx,MasonSlots,main_review,TRUE
"National/National Casino Canada Review 2025 – Bonuses, Live Games & App.docx",National,main_review,TRUE
National/National Casino NZ App.docx,National,app_review,TRUE
National/National Casino NZ Bonus Review.docx,National,bonus_page,TRUE
National/National Casino NZ Main Review.docx,National,main_review,TRUE
"Playamo/Claim 6,500 AUD + 150 Free Spins on PlayAmo_ Now Ready for Aussie Players.docx",Playamo,bonus_page,TRUE
Playamo/Download PlayAmo App and Gamble Non-Stop.docx,Playamo,app_review,TRUE
Playamo/Game Time is Anytime When You Get the PlayAmo App_ Ready for Download in Australia.docx,Playamo,app_review,TRUE
Playamo/Guide to PlayAmo Support for Tunisian Players.docx,Playamo,customer_support,TRUE
Playamo/Help or Hassle.docx,Playamo,customer_support,TRUE
Playamo/Live Casino Experience Without Leaving Your Home_ Play at PlayAmo Live Casino Today!.docx,Playamo,live_casino,TRUE
"Playamo/PlayAmo App Review_ Instant Access, Smooth Play.docx",Playamo,app_review,TRUE
Playamo/PlayAmo Bonus Guide for Tunisian Players.docx,Playamo,bonus_page,TRUE
"Playamo/PlayAmo Bonuses_ Welcome Wins, Friday Reloads, Monday Spins.docx",Playamo,bonus_page,TRUE
"Playamo/PlayAmo Casino Australia – Fast AUD Payouts, Crypto Deposits & 2,000+ Games.docx",Playamo,main_review,TRUE
Playamo/PlayAmo Live_ Gambling Games for Maximum Entertainment.docx,Playamo,live_casino,reviewed
"Playamo/PlayAmo Review_ Instant Deposits, Swift Withdrawals, Real Variety.docx",Playamo,payments,TRUE
Playamo/PlayAmo_ Online Gambling Paradise for Tunisian Players.docx,Playamo,main_review,reviewed
RoyalXo/App_ RoyalXO AU.docx,RoyalXo,app_review,TRUE
RoyalXo/App_ RoyalXo Mobile.docx,RoyalXo,app_review,TRUE
"RoyalXo/App_ Royalxo App in Ireland_ What We Get on Android, iPhone, and Mobile Web.docx",RoyalXo,app_review,TRUE
RoyalXo/Bonus_ RoyalXo.docx,RoyalXo,bonus_page,TRUE
RoyalXo/Bonuses_ RoyalXO AU.docx,RoyalXo,bonus_page,TRUE
RoyalXo/Bonuses_ Royalxo Bonuses in Ireland_ What We Get and How They Work.docx,RoyalXo,bonus_page,TRUE
RoyalXo/Live_ RoyalXO AU.docx,RoyalXo,live_casino,reviewed
RoyalXo/Live_ RoyalXo.docx,RoyalXo,live_casino,reviewed
"RoyalXo/Live_ Royalxo Live in Ireland_ Real Dealers, Real Tables, and a Clear Live Setup.docx",RoyalXo,live_casino,reviewed
"RoyalXo/Login_ Roaylxo Registration and Login_ How to Open, Verify, and Access the Account.docx",RoyalXo,registration,TRUE
RoyalXo/Login_ RoyalXo.docx,RoyalXo,registration,reviewed
"RoyalXo/Main Page_ Royalxo Ireland Review_ Bonuses, App, Banking, and Live Casino.docx",RoyalXo,main_review,TRUE
RoyalXo/Main _ RoyalXO AU.docx,RoyalXo,main_review,reviewed
RoyalXo/Main_ Royalxo.docx,RoyalXo,main_review,reviewed
RoyalXo/Privacy Policy_ RoyalXO AU.docx,RoyalXo,privacy_policy,reviewed
RoyalXo/Privacy _ RoyalXo.docx,RoyalXo,privacy_policy,reviewed
RoyalXo/Privacy_ Royalxo Privacy Policy_ The Key Data Points.docx,RoyalXo,privacy_policy,reviewed
RoyalXo/Registration_ RoyalXO AU.docx,RoyalXo,registration,TRUE
RoyalXo/Responsible Gaming_ RoyalXO AU.docx,RoyalXo,responsible_gaming,TRUE
RoyalXo/Responsible Gaming_ Royalxo Responsible Gaming_ How We Keep Play Under Control.docx,RoyalXo,responsible_gaming,TRUE
RoyalXo/Responsible gaming_ RoyalXo.docx,RoyalXo,responsible_gaming,TRUE
RoyalXo/Slots_ RoyalXO AU.docx,RoyalXo,game_review,TRUE
RoyalXo/Slots_ RoyalXo.docx,RoyalXo,game_review,TRUE
"RoyalXo/Slots_ Royalxo Slots in Ireland_ How We Start, What We Play, and Where the Value Is.docx",RoyalXo,game_review,TRUE
RoyalXo/Support_ RoyalXO AU.docx,RoyalXo,customer_support,TRUE
RoyalXo/Support_ RoyalXo.docx,RoyalXo,customer_support,TRUE
RoyalXo/Support_ Royalxo Customer Support in Ireland.docx,RoyalXo,customer_support,TRUE
SafeCasino/I Tried the Safe Casino App And It Surprised Me.docx,SafeCasino,app_review,TRUE
SafeCasino/Safe Casino Bonuses Uncovered.docx,SafeCasino,bonus_page,TRUE
SafeCasino/SafeCasino is the trusted online casino in Canada you've been looking for.docx,SafeCasino,main_review,TRUE
Slotrave/01 - Privacy - SRC.docx,Slotrave,privacy_policy,reviewed
Slotrave/02 - Responsible Gaming - SRC.docx,Slotrave,responsible_gaming,TRUE
Slotrave/03 - Login - SRC.docx,Slotrave,registration,reviewed
Slotrave/04 - Support - SRC.docx,Slotrave,customer_support,TRUE
Slotrave/05 - Live - SRC.docx,Slotrave,live_casino,reviewed
Slotrave/06 - Slots - SRC.docx,Slotrave,game_review,TRUE
Slotrave/07 - App - SRC.docx,Slotrave,app_review,TRUE
Slotrave/08 - Bonus - SRC.docx,Slotrave,bonus_page,TRUE
Slotrave/09 - Main - SRC.docx,Slotrave,main_review,reviewed
Slotrave/APP Slotrave Review_ Mobile Casino Play on Android and iOS.docx,Slotrave,app_review,TRUE
"Slotrave/App_ Slotrave Mobile Play, Installation Steps, and What to Expect.docx",Slotrave,app_review,TRUE
"Slotrave/BONUSES Slotrave _ Deposit Deals, Free Spins, and VIP Rewards.docx",Slotrave,bonus_page,TRUE
Slotrave/Bonuses_ Slotrave Bonus Offers Worth Checking First.docx,Slotrave,bonus_page,TRUE
"Slotrave/LIVE Casino at Slotrave_ Tables, Dealers, and Game Shows.docx",Slotrave,live_casino,TRUE
Slotrave/LOGIN_ From Sign-Up to Spin_ Getting Into Slotrave.docx,Slotrave,registration,TRUE
"Slotrave/Live_ Slotrave Live_ Dealer Tables, Providers, and How to Get Started.docx",Slotrave,live_casino,reviewed
"Slotrave/MAIN Slotrave Review_ Bonuses, Games, Payments, and Player Experience.docx",Slotrave,main_review,TRUE
Slotrave/Main_ Slotrave Casino Review_ What You Get from the Main Site.docx,Slotrave,main_review,TRUE
Slotrave/PRIVACY_ Behind the Login_ Slotrave Privacy Policy.docx,Slotrave,privacy_policy,reviewed
Slotrave/Privacy_ Slotrave Privacy Policy_ The Main Points That Matter.docx,Slotrave,privacy_policy,reviewed
Slotrave/RESPONSIBLE GAMING Slotrave_ Stay in Control While You Play.docx,Slotrave,responsible_gaming,TRUE
Slotrave/Registration_ Slotrave Registration and Login_ How the Account Flow Works.docx,Slotrave,registration,TRUE
Slotrave/Responsible Gaming_ Slotrave Responsible Gaming_ Keeping Play Under Control.docx,Slotrave,responsible_gaming,TRUE
"Slotrave/SLOTS Slotrave_ Top Games, Bonus Features, and Demo Play.docx",Slotrave,game_review,TRUE
"Slotrave/SUPPORT Slotrave _ Email, Chat, and Contact Options.docx",Slotrave,customer_support,TRUE
"Slotrave/Slots_ Slotrave Slots_ Main Slot Bonuses, Game Types, and What to Play First.docx",Slotrave,game_review,TRUE
Slotrave/Support_ Slotrave Customer Support_ The Main Ways to Get Help.docx,Slotrave,customer_support,TRUE
Spinando/Exclusive Casino Promotions & Bonuses at Spinando New Zealand.docx,Spinando,bonus_page,TRUE
Spinando/Spinando Casino Canada – 2025 Review and Player Insights.docx,Spinando,main_review,TRUE
Spinando/Spinando Casino Review for Irish Players 2025.docx,Spinando,main_review,TRUE
Spinando/Spinando NZ Main Review.docx,Spinando,main_review,TRUE
Spinando/SpinandoCasino App.docx,Spinando,app_review,TRUE
Spinando/Spinandocasino.au Bonuses.docx,Spinando,bonus_page,TRUE
Spinando/Spinandocasino.au Mobile App.docx,Spinando,app_review,TRUE
Tonybet/Exclusive Casino Promotions & Bonuses At Tonybet Casino.docx,Tonybet,bonus_page,TRUE
Tonybet/Live Dota 2 Betting at TonyBet Ireland- Your Comprehensive Guideline.docx,Tonybet,sports_market,reviewed
Tonybet/Live-Betting on NBA 2K at TonyBet_ A Courtside Guide for eSports Fans.docx,Tonybet,sports_market,TRUE
Tonybet/Tennis Betting & Odds at TonyBet.docx,Tonybet,sports_market,TRUE
Tonybet/TonyBet E-Sports Live Betting 2.docx,Tonybet,sports_market,reviewed
"Tonybet/TonyBet Ireland — A Down-to-Earth Take On Odds, Slots And The App.docx",Tonybet,main_review,TRUE
Tonybet/TonyBet Olympics Betting.docx,Tonybet,sports_market,reviewed
Tonybet/TonyBet Partners Privacy Policy.docx,Tonybet,privacy_policy,TRUE
Tonybet/TonyBet Partners Terms and Conditions.docx,Tonybet,general,TRUE
Tonybet/TonyBet Partners.docx,Tonybet,general,TRUE
Tonybet/TonyBet — Something Irish Players Might Enjoy Exploring.docx,Tonybet,main_review,reviewed
Tonybet/tonybet.com Live Counter-Strike IE.docx,Tonybet,sports_market,reviewed
Tonybet/tonybet.com Live Cricket IE.docx,Tonybet,sports_market,TRUE
"Vave/Meta Title_ Vave Casino App Review – Crypto Mobile Casino & Sportsbook with 10,000+ Games.docx",Vave,app_review,TRUE
Vave/VAVEBet _ App _ 2000.docx,Vave,app_review,TRUE
Vave/VAVEBet _ Betting _ 3000.docx,Vave,sports_market,reviewed
Vave/VAVEBet _ Bonus _ 2500.docx,Vave,bonus_page,TRUE
Vave/VAVEBet _ Main _ 4000.docx,Vave,main_review,reviewed
Vave/Vava Casino App.docx,Vave,app_review,TRUE
Vave/Vave Casino Bonuses.docx,Vave,bonus_page,TRUE
Vave/Vave Casino Main.docx,Vave,main_review,TRUE
Vave/Vave Casino Review 2025 – The Best Crypto-First Casino Experience.docx,Vave,main_review,TRUE
"Vave/VaveCasino.us Betting_ Sports, Esports & Live Odds.docx",Vave,main_review,TRUE
